comments,topic,type,sentiment
It isn t the loudest portable speaker but the sound is good clean and crisp A very good everyday speaker ,"portable speaker,good everyday",appreciation,POSITIVE
Too much bass difficult to understand remote party Very limited control settings options in its App App cannot run without gps on ,"much bass,remote party",complaint,NEGATIVE
Got the product early than estimated delivery date Original packing All inclusion as promised Easy connectivity to my phone and awesome sound quality Best Buy just go for it Thank you Amazon,"original packing,easy connectivity,awesome sound",appreciation,POSITIVE
Amazing sound quality,sound quality,information,POSITIVE
Sound is too good fully satisfied with deep bass treble and audio quality So small speaker could produce good quality sound I am going crazy for it ,"deep bass,audio quality,small speaker,good quality",appreciation,POSITIVE
A compact and fantastic piece Crisp and clear sound Good bass Quick and easy BT connections Long battery life A total value for money deal ,"fantastic piece,good bass,bt connection,long battery",appreciation,POSITIVE
This speaker is not for those with sensitive ears or those who like to hear the singers voice more clearly than the instrument sounds I got ear ache after using it for mins There is no app not even Bose music app which supports this speaker thru which we can modify settings to reduce bass etc only option is to use Spotify app always which has the playback settings but that is of not so much help Since I cannot return it nor use it it is in the store room after spending k Amazon support nor Bose support could help ,"sensitive ear,instrument sound,bose music,much help",appreciation,POSITIVE
Sound quality value for money and bluetooth connectivity is too good,sound quality,information,POSITIVE
Excellent product,excellent product,appreciation,POSITIVE
Bose all products are amazingNice sound ,bose product,appreciation,POSITIVE
Speaker is normal Not extra ordinary as BOSE speaker is expected to be Price is also very high ,bose speaker,appreciation,POSITIVE
Really love the sound quality of this ,sound quality,information,POSITIVE
Great sound quality its all that matters ,sound quality,information,POSITIVE
Very good Bose,good bose,appreciation,POSITIVE
This was original product and im happy with it,original product,information,POSITIVE
Amazing sound quality Bose never disappoints ,sound quality,information,POSITIVE
Sound quality is best ,sound quality,information,POSITIVE
Its a great product,great product,information,POSITIVE
Excellent product I liked it a lot,excellent product,appreciation,POSITIVE
Speaker vol is not good Won t recommend to go for Bose same vol quality with other cheaper product as well Don t waste money,"good recommend,bose vol,cheaper product",appreciation,POSITIVE
Best sound quality,sound quality,information,POSITIVE
The media could not be loaded Best portable speaker quick Bluetooth connection and great sound clarity ,"portable speaker,great sound",appreciation,POSITIVE
The sound quality was a disappointment when i checked it in the showroom The people here either had not experienced real sound or have other expectations than me For me it sounded really flat and dull in terms of bass I already have Yamaha sound bar and connected a Sony bass module It s a beast Same or lesser price Bose has become a tragedy I expected so much Not worth the investment ,"sound quality,sound expectation,dull term,sound bar,lesser price,worth investment",information,NEGATIVE
Used product Charging adapter and cable missing Box heavily damaged when unboxing Manufacture info tag replaced and stick with duck tape Not sticker to peel off the top of speaker ,top speaker,information,POSITIVE
There is no battery availability at service centre itself already waited for more than months They are not able to get spares itself TVS are the authorised service providers with pathetic service in india Regreted buying bose ,"spare tv,pathetic service",complaint,NEGATIVE
It s been over months my bose soundlink revolve bluetooth speaker is lying at bose service station Klickit solutions and services Mumbai for repair So either bose products are irreparable if so they should mention it while selling or they don t have proper service support in India if that s the case that should also be told while selling the product Either way I would never recommend bose products to anyone patheticservice avoidbose Your entire money will be zero once peoduct has any problem ,"soundlink revolve,bose product,irreparable mention,proper service,bose product,entire money",information,NEGATIVE
While the product itself is top notch as expected from Bose the after sales service of Bose India support bosesupport tvs e in is horrid to say the least That s why I give it one star for value for money I d not charged the product for a few days and the battery died down Now it just won t charge or switch on Efforts made to resolve it from the website proved futile Email written a month ago no reply All details provided with a copy of the Amazon invoice and about the product no response Now all I have is a quarter of a lakh paper weight ,"bose sale,futile email",complaint,NEGATIVE
No doubt sound quality is awesome but if you purchase such quality expensive product then customer will expect service as well The day it may malfunction believe me there is no support Even software update destroys device motherboard costing half the price of product even the hardware are not available at service centres I m seeking help to get my BOSE Revolve fixed but seems my is now a waste I ve tried service centre in Noida Gurgaon Chandigarh they even do not have any technical knowledge ,"sound quality,awesome purchase,expensive product,well day,half price,available service,bose revolve,technical knowledge",information,POSITIVE
I got this product as if it came of a demo shelf For a K product this is the first time I am experienceing this I have bought Phone and gadgets worth K never I got a product which was opened Being a prime customer I don t think this was also checked properly before the delivery ,"first time,prime customer",information,POSITIVE
I got these for k each Sound is Good for there size Has good amount of bass Don t except the low deep bass too much like from a seprate bass module but it s satisfying Sound signature is balanced Xtreme and Sony xb will be more suited for a deeper bass but they are bulky ,"good size,good amount,deep bass,seprate bass,deeper bass",appreciation,POSITIVE
I will recommend you all not to purchase this product from AMAZON no matter what discount you re being given It costs around k in the market However it s very nice elegant looking speaker with premium sound quality Also Bose app works above average I know couple of people who got this same product from Amazon Flipkart and undoubtedly they were cheated Be very cautious while you spend your hard earned money To me personally if I m willing to purchase anything around this range I can settle for paying bucks more but won t take refurbished stuff This speaker is arguably BEST in business ,"know couple,cautious spend,willing purchase,best business",information,POSITIVE
A superb product Problem is if something were to go wrong with your product like mine did to get it fixed is a nightmare and since the cost spent on the product was high enough the pinch too is likewise terrible after sales and repair services by Bose ,"wrong product,enough pinch,terrible sale",complaint,NEGATIVE
Sound is mind blowing But Bose should release cover for speaker s handle Neither this will be dirty with time Bose has a reputation,"sound mind,dirty time",information,POSITIVE
It is a horrendous faux m glad I didn t buy it is not worth Dont waste your money on this one it is all lie beware,glad buy,appreciation,POSITIVE
Everything good except the packaging which was tampered But rest it s bose so it s heaven Good purchase as a gift,good purchase,appreciation,POSITIVE
It s an amazing sound system Quality of sound is too good Clarity of voice and instruments are pure treat to ears ,"sound system,good clarity,pure treat",appreciation,POSITIVE
Poor quality sound and unable to connect phone calls in the speaker device Not expected this kind of quality from BOSE ,"poor quality,connect phone,kind quality",information,NEGATIVE
Software update in btu bose but it s not https while update I purchased product sound link resolve on but update software but not change from red blinking on device and issues occurred on October Warranty is year So I informed to customer care but not guide any technical call but no technical support in the call and during the call required serial no and model but issue not resolved but they said need to go to service center but it s very away from place but not sure technical fees ,"technical call,technical support,technical fee",information,NEGATIVE
I have had this speaker for four years and it is still working great I have had no issues and it still sounds very clear and consistent When I spent in i never thought I would get my money s worth to this extent I have the Bose Portable Home Speaker but I still prefer this speaker as the sound is more natural and the mono effect really does it for me I still get at least hours on moderate volume It looks great and is durable Also BOSE Service is not great but once it stopped working and they gave me a new one It stopped working because I put it in water so don t try that The best feature is that I can connect to this without needing to switch it on Simply go to bluetooth on your android or ios and connect to this speaker and boom it connects switches on The sound Great I have owned the Bose Home speaker I have the Bose Solo soundbar Bose Portable Home speaker Apple Homepod Mini used Marshall if you dont mind having a big speaker try the Marshall Kilburn That s got a much louder and room filling sound But its bigger also If you just want a speaker thats super loud the bose portable home speaker is great but if you care about mids as you should try the Revolve Plus Even today its a great deal Bose need to release Bose Revolve Plus and I ll buy it in a heart beat PS this review is for the first generation i had no idea i was reviewing the second gen ,"worth extent,portable home,natural mono,least hour,moderate volume,new one,best feature,connect speaker,portable home,big speaker,louder room,loud bose,portable home,great care,great deal,first generation,second gen",information,POSITIVE
First of all two misleading pieces of information in the Amazon listing The title says Bose SoundLink Revolve II Wireless Bluetooth Portable Speaker with Alexa Silver However there is NO Alexa This is a serious piece of misleading information In the country of origin it is mentioned Malaysia However on the speaker box it says Made in Mexico Now to the quality of the speaker Well the sound quality is just great All the frequencies come out clearly and beautifully Bluetooth connection is quick and hassle free When listening to phone calls the sound is crisp and clear The Bose app is simple to use and works well with the speaker ,"misleading piece,soundlink revolve,portable speaker,serious piece,sound quality,great frequency,quick hassle,bose app,simple use",complaint,NEGATIVE
Sound quality is good it is clear but lacks bass If you re looking for a speaker for a house party or outdoor use don t buy this as this is meant for casual listening I feel it s not worth the amount you pay for it would rather go for Marshall Emberton or JBL speakers ,"sound quality,clear lack,outdoor use,casual listening,worth amount",information,POSITIVE
As expected Bose delivers excellent sound quality Bass voice and instruments are very clear Ease of use through Bose connect app ,"sound quality,clear ease",appreciation,POSITIVE
Amazing sound quality never expected to get this in K during sale ,sound quality,information,POSITIVE
If you looking for portable speaker and you have budget then go for it without thinking twice ,portable speaker,appreciation,POSITIVE
Amazing clarity of sound ,amazing clarity,appreciation,POSITIVE
This is my second Bose revolve after owning first gen revolve This has always been my go to speaker The sound is excellent and a few of my friends have commented on this Battery life is excellent too The black finish looks great too Love it ,"bose revolve,excellent friend,black finish,great love",appreciation,POSITIVE
great sound portable good battery life very happy with product,"great sound,good battery,happy product",appreciation,POSITIVE
Item provides a great sound wish the buttons to work it could be seen better,great sound,appreciation,POSITIVE
