comments,about,topic
The media could not be loaded ,,appreciation
The media could not be loaded Very good ,,appreciation
Lighter than any other bluetooth,,appreciation
Its perfect for me Am happy except that sometimes the connection breaks intermittently and rest of the time works flawlessly Also this is a personal thing the buds are a bit large for my ears but that depends on individual to individual but just an info ,"personal thing,large ear,individual info",appreciation
awesome product in this rangebecause it s Made in India,awesome product,appreciation
Product is good Paisa basul nice kuwality,"good paisa,nice kuwality",appreciation
Connection,,appreciation
No bass and no clear saund ,clear saund,complaint
Sound quality is very Poor Music lovers Stay away from this product Can use it as a standby Product ,"sound quality,poor music,standby product",appreciation
Like,,appreciation
Sound very good bettery life goodBut plastic quality not good,"good bettery,plastic quality",appreciation
I bought this on Oct for Rs thinking that this would work for at least months The earphones worked for days and It s not recognisable by any leave in the nd week Tried with different phones iPad laptop The most irritating part is after sales It took about weeks for them to pick the product and process a refund I was going round in circles for weeks and when XOR technologies Manufacturer didn t respond to emails and calls I had to send screenshots of emails invoice and product images to get be able to get a return pickup ,"least month,recognisable leave,different phone,round circle",information
value for money,,appreciation
writing this review after almost hrs of use Got this at launch for Im guessing after initial phase amazon will increase price However I would be happy to pay even for this My Cons so far Packing is seriously substandard Its packed in a similar box a mouse is packed A basic corrugated paper box with earbud sticker on it Though this has nothing to do with performance of earbud but packing is first part of first impressions of a product Lights on case I personally didnt like it but i understand thats being most economical way to indicate battery status still Earbud Design Looks like from st generation of earbud Pros Sound Clear sound For me personally music at Volume was sufficient What earbud lacks in design it surely covers up in sound At full volume you could feel earbud is at its limit will crack up after months year of use Ease of Use Single tap volume controls double tap song change second hold play pause reject calls tripple tap voice assistant hold seconds power on off Its easy to use without accessing your phone Material Not premium but definitely neither cheap too Plastic feels good Since i got this at I can live with those cons give star rating At price its star product My Take Worth buying or less ,"initial phase,similar box,corrugated paper,first part,first impression,economical way,clear sound,personally music,full volume,single tap,double tap,second hold,second power,easy use,cheap plastic,live con",information
I bought them for and these are one of the best wireless earphones ever at this price point The sound is clear and loud enough The battery stays for long as mentioned hours The build quality is very nice and feels comfortable ,"wireless earphone,enough battery",information
Product was good but it was used product nd return item was used,,information
Over all ok but too much costIt don t deserve this price price have to be decreased,much costit,appreciation
The media could not be loaded Good at that price,good price,appreciation
Ok,,appreciation
Nice,,appreciation
Brilliant pair of earbuds,brilliant pair,appreciation
It s good ,,appreciation
 There are stupid noises when the buds pair with each other They sometimes pair with eachother if you have stopped playing music Noise cancellation mentioned in the description is not active the image is misleading Charging light on the case remains on till the buds have charged to Who thought of this idea Such a waste of energy super annoying The ear buds themselves also have lights to indicate pairing makes it look trashy Audio mic is decent in a quiet environment Please get rid of all these lights it ain t a Xmas tree Let me know if I can return it ,"stupid noise,active image,light case,annoying ear,quiet environment",complaint
Good battery backup and noise cancellation worth for money ,"good battery,worth money",information
The device doesn t automatically connect to the Bluetooth of your phone Everytime I have to pair manually and it s not an ideal feature And the grip is also not that good I d recommend to go for Ptron bassbuds lite which is a little big in size but works better than this ,"ideal feature,good recommend,big size",complaint
I purchased this just to get a feel of Wireless earbuds and I m not happy with my choice This does not fit my ear but fits my wife s ears So not for everyone Soundquality is very poor similar to that Rs headphones from Busstand and Railway Stations Noice Cancellation Similar to my wired Boat headphone nothing more than that Battery Good battery backupBuy this just for the same of having a true wireless buds not for any other reason ,"wireless earbuds,happy choice,similar r,wired boat,good battery,wireless bud",information
This earbuds is looking good and sounds quality is also best bass was super and feel d sound fitting was also great easily paired and battery performance is good i like this product more and you can also buy and feel real music sound,"good sound,best bass,real music",appreciation
For me these are average and somewhat uncomfortable Fell off more often Hurts your ears after using for much time The aound quality is not that good if you increase the volume you even the best quality audio becomes cringe Battery life is excellent Its good for indoor calling quiet places ,"much time,good increase,best quality,good indoor,quiet place",complaint
Bluetooth Connectivity is very Low Don t Buy this Product if you ve rs for this item You Can Add rs more rs and buy other buds better then this ,,appreciation
They have very best build quality of case and buds then any other products It can also charge faster then any other buds and have very long battery life and it also have very good bass and treble,"long battery,good bass",appreciation
they have a more neutral default sound profile which some users may prefer and their mic has a better recording quality They also have a low latency mode ,"neutral default,better recording,low latency",information
This earbuds is looking nice and good quality sound bass is was very amazing easily pairs and long life battery backup i suggest to buy this nice earbuds such a osume product i have see thank you amazon ,"good quality,long life,nice earbuds",appreciation
They have better built quality and they offer more comprehensive controls That said they also have better noise isolation thanks to their adjustable ANC feature ,"comprehensive control,better noise",appreciation
The sound is very balanced in the product Whether it is bass or treble or tunes everything is perfectly balanced Amazing product and a must buy Thanks Amazon ,"balanced product,treble tune,amazing product",information
Sound quality is good and battery backup is more than enough Over all value for money It s a good product You can buy this ,"sound quality,good battery,enough value,good product",appreciation
This Truly Wireless are better then any other Truly Wireless They are more comfortable and they have a longer continuous battery life Also their microphone has a better recording quality ,"continuous battery,better recording",appreciation
This are great for commute and travel Thanks to their lightweight and portable design you can easily store these comfortable and well built earbuds in your pocket or bag on the go,"great commute,portable design",appreciation
they have the same premium build quality as their other products They also have balanced and very punchy audio It s worth for its price,worth price,appreciation
While both buds are well built and have similarly excellent levels of noise isolation thanks to their ANC systems they have a better battery performance then any of others buds,"excellent level,better battery",appreciation
Bass is good sound quality is superb easily paired long life battery backup design is good I like this product more,"good sound,long life",appreciation
This earbud has huge scope of improvement for Amazon Basics Software need better bluetooth connectivity Design of buds weight of the earbud Functionality technologyMust say Amazon vendor did not give its to this product,"huge scope,basic software",complaint
A fantastic product by Amazon and I m very happy to have this one,fantastic product,appreciation
Good sound quality battery backup is also good bass is superb easily paired I love this product,"sound quality,good bass",appreciation
Sound quality is good long backup andlow weight ,"sound quality,long backup,andlow weight",appreciation
It s and Bluetooth device with heavy sound quality and nice noise cancellation,"heavy sound,nice noise",appreciation
Good product and nice quality clear bass worth of money,"good product,nice quality,clear bass,worth money",appreciation
Sound quality recommendable within this price range Sound quality super battery backup excellent and long lasting after use for many hours ,"sound quality,sound quality,super battery,many hour",appreciation
Great experience with this product ,great experience,appreciation
Loved the sound quality and the comfort of use Better than many other leading brands in the same price range,sound quality,appreciation
Worthy product for this price ,worthy product,information
Comport is so good Many times usable Sound is good Battery long period,"many time,usable sound,good battery,long period",information
It s good no issues with the connection as well ,,appreciation
Sound quality is supar no cut call after use bike very fast and easy Bluetooth connectivity and reasonable price ,"sound quality,reasonable price",appreciation
Superb No words,,appreciation
Sound quality excellent Perfectly designed ,sound quality,appreciation
Best earbuds at this price sound quality is awesome calling quality is also good ,best earbuds,appreciation
Sound quality awesome but noise cancellation was little hard otherwise worthy product,"sound quality,awesome noise,worthy product",appreciation
Best earphone product I purchased No tension after I purchased this Earlier boult cheated me with low quality neckband,"best earphone,earlier boult,low quality",appreciation
Product is really good Awesome,,appreciation
Vocals are very clear,,appreciation
Bluetooth connectivity is very good It didn t disconnect at long distance with the phone ,"good disconnect,long distance",information
Bass is very Good ,,appreciation
Superb quality nice design I like this product,nice design,appreciation
Not good one even ears are paining after some time and quality of call is very poor Not worth to buy,"good one,worth buy",complaint
Good Sound quality Active noise cancellation Good Battery life,"sound quality,active noise,good battery",appreciation
Overall good at reasonable price,reasonable price,appreciation
Amazing,,appreciation
Wonderful products and very Good sound quality I m very happy,"wonderful product,good sound",appreciation
Quality is very very poor not worth to the amount,worth amount,complaint
Product quality is very good I am very happy,,appreciation
Bad connectivityDrops call unintentionallyOnly positive thing it looks decently good,"bad connectivitydrops,positive thing",appreciation
Great product worth the price,"great product,worth price",appreciation
Packing good sound quality ok But it seems like there is some design flaw and particular beats found unbearably noisy Don t know whether it s defective product sent for me or everyone experiencing the same Recently my friend purchased noise vs While comparing this amazon basics Bluetooth earbuds with noise vs earbud noise vs is a clear winner in every aspect sound quality battery backup beats fit I am going to refund Amazon basics Bluetooth earbuds it s not upto the quality they mentioned in their ads Replacement update I have put replacement for this one and got new one delivered yesterday The noise i mentioned above exists with the new one also so it seems like there is a design flaw If you have this earphone and don t know what I m talking just play vainko song in YouTube with this earphone you can hear a noise in between beats that beat comes in different songs and in all the different songs you will experience an unbearable noiseDon t waste your money on a prototype product I am definitely going to refund my earphone ,"good sound,particular beat,defective product,clear winner,new one,new one,different song,different song",information
Connectivity issue Creating nuisance sound on high beats Very cheap product from Amazon ,"nuisance sound,cheap product",complaint
Sound is often breaking on call or music when battery comes below ,,complaint
It fit my ears well Sound is clear even though I could hear what others were talking in the room I think battery life is good too It was worth the money i paid for it ,"fit ear,worth money",information
Very uncomfortable in the ear And Gets disconnected easily unexpectedly,uncomfortable ear,complaint
There are some stupid noises coming from earbuds Amazon has cheated its customers to give a good earbuds and I believed in their products and finally concluded that Amazon is a big cheater I suggest you that this earbuds are suitable for use I give a final advice is that don t buy this products in online like Amazon platform instead try buying outside at a popular places where earbuds are good and even u can try physically there ,"stupid noise,good earbuds,suitable use,final advice,popular place",complaint
Audio quality on call is so bad and connectivity is also not goodI have requested for replacement and not replacement done in app it s showing deleverd what happened with Amazon,"audio quality,bad connectivity",complaint
Misc play wath not working,,complaint
Good,,appreciation
Only one side getting connected Tried so many times Don t know why but even it is full charged and there is no service seems to be available nearbyAlso sensor of left earbud is continuous onLight of box is not getting off,"many time,nearbyalso sensor",complaint
It doesn t work during high beat music and suddenly there is no sound at certain times,certain time,complaint
i like the product Amazon TWS is a perfect tws in the market in this price it s bass is clear sound quality is good Amazing battery backup,"sound quality,amazing battery",appreciation
Value for money product,,information
Overall disappointed,,complaint
Weast of money please take boat or any brand,,appreciation
The media could not be loaded First of all I would say the earbuds dnt work as expected Stuttering sound if I watch a series or movie Call disconnects automatically while talking And as its own wish it disconnects and connects Bluetooth Above are the problems faced But I tried connecting the retailer they said contact Amazon Amazon doesn t have options to raise issue and send it back Feel cheated by amazon Looks like a faulty earbuds given to me and no one to assist ,"cheated amazon,faulty earbuds",complaint
Review after month usage Sound during calling is very low It restart app during connecting and disconnecting very bad Connectivity takes time,bad connectivity,information
The media could not be loaded SOUND QUALITY IS VERY LOW AND DON T PICK UP PHONE WHILE TURN ON BLOOTOOTH,"sound quality,low pick",appreciation
In general the quality of Amazon Basics products is good but these earbuds are a worst product from Amazon Basics I received faulty earbuds Quality checks are required at packing facility Have returned twice ,"general quality,basic product,good earbuds,worst product,faulty earbuds",complaint
No ,,complaint
Bhai m jada kuch bhi nahi kahunga bas yahi kahunga ki no hai iski sound quality or bass quality ,sound quality,appreciation
DON T THINK TWICE YOU SHOULD OWN THIS I AM SURPRISED ABOUT THE SOUND QUALITY AWESOME,sound quality,appreciation
Fully satisfiedVery happy with it s sound experience,happy sound,appreciation
Noise should improve more,,appreciation
Good very Amazon,good amazon,appreciation
It has a good battery back up and very nice sound,"good battery,nice sound",appreciation
Really amazing TWS loved it Best buy under k,,appreciation
Very good material and good item,"good material,good item",information
Very light weight and comfortable,light weight,appreciation
Superb bass and Sound quality,,appreciation
Product is good but couldn t fit into my ears falls down frequently,fit ear,appreciation
It s connect with phone quickly and sound quality is also good over all a good but with this price and noise cancellation is the good and battery life ok,"good price,good battery",appreciation
Too good,,appreciation
Awesome product impressed with the sound quality ,"awesome product,sound quality",appreciation
Value for the money Sounds is clear and bass is great also very light weight,"clear bass,light weight",appreciation
 Pros Great Sound Good Battery Great Price Cons mic is not that best but ok with this price range ,"great sound,good battery,great price,ok price",appreciation
Earbud quantity is very bad when ware in ear no wareing in ear automatically down and fall down i m also request for return but amezon direct refused complaint and not take back this worst product,"bad ware,worst product",complaint
Sound quality is good,sound quality,appreciation
Best product you can buy in this range Sound quality is good,best product,appreciation
Late connection,late connection,appreciation
Happy to purchase it In this price segment it s really good,happy purchase,appreciation
This is definitely one of the best sounding TWS at this price point I am amazed by the sound quality ,amazed sound,appreciation
Tried other TWS under but this one is way better than them Must try,,complaint
great product at this affordable price quality of the product is grt,"great product,affordable price",appreciation
I like this product Very good sound quality and very good product for all mention in description ,"sound quality,good product",information
Amazon basics Bluetooth bhot karb product hai or Amazon ki policy hai ye product pe day me replacement but mene Amazon basics buy kiya or usme right side ka earbuds kam nahi karta or touch controls be ekdam kharb hai bhai ye product buy mat karo,"mene amazon,right side",information
Looks premium and call quality is also good and top notch sound quality in this price range,"premium call,top notch,sound quality",appreciation
Good sound quality and battery life,sound quality,appreciation
Working as expected for now Will let you know the durability after months ,,information
I really like the product Fits in ear perfectly Sound is also fine,,appreciation
Low price best headphones,"low price,best headphone",appreciation
Sound Quality is extremely good ,,appreciation
 Only amazon can give high quality products in this price range This TWS is extremely good Anyone can have TWS now ,high quality,appreciation
Over all good package in this price battery backup and sound quality was good ,good package,appreciation
I have redmi and noise tws but these ones are the best among all ,,appreciation
Hariom KumarAmazing products nd service by Amazon Must Buy it s better then my previous buds ,previous bud,appreciation
Sound like premium one and best qualityOther any product,qualityother product,appreciation
Excellent product good earbuds design and looking very good easily fitting in ears,"excellent product,good earbuds,fitting ear",appreciation
Worth the price although i have bought it in ,worth price,appreciation
Everyting is great great product in this price range,great product,appreciation
Don t buy these earphones using them has caused problems in my ears It always has a crackling and static noise coming from it along with the sound They re not at all noise cancelling and are made of very low quality ,"static noise,low quality",complaint
Disription Delivery boy and time is very good Also the product is so nice ,,appreciation
Product is exactly what it shows with good quality ,good quality,appreciation
Amazon basics have raised their bar on quality and finishing Sound and connectivity is awesome Battery back up to be checked Looks promising ,awesome battery,appreciation
Worth with this price,worth price,appreciation
Connectivity is very poor also not an a month it s damnged,,complaint
Compact and light weight great connectivity and range,"light weight,great connectivity",appreciation
Good earpods Sound quality goodBudget friendly I took it in saleColour very good Even the replacement process from Amazon is very smooth Thanks Amazon ,good earpods,appreciation
Best and rich in all aspects,rich aspect,appreciation
Sound quality is super Balanced sound not too much bass ,"sound quality,balanced sound,much bass",appreciation
I totally like the product,,information
Product build and sound quality are good,sound quality,appreciation
Nicely working good quality and light weight,good quality,appreciation
Sound clarity is awesome Worth of money,"sound clarity,worth money",appreciation
Just amazing productComplete value of money,productcomplete value,information
A must buy products for music lovers,,appreciation
Bass sound and quality everything was good,,appreciation
Good sound quality battery life is also ok,sound quality,appreciation
This TWS sounds good and decent,good decent,appreciation
Excellent sound quality with a comfortable fit,"sound quality,comfortable fit",appreciation
Great quality product at great price and very good punchy bass,"great quality,great price,punchy bass",appreciation
Highly recommendedThe price is taken it s worth it,recommendedthe price,appreciation
Vocals are good for the price with balance bass and treble,good price,appreciation
The quality of music is too clear with every detail,,information
 Amazing Sound Quality Great Battery Backup Best Value for money under Rs Build quality is perfect,"sound quality,great battery,best value",appreciation
sound is clear with good battery backup,good battery,appreciation
All rounder best ear buds under ,,appreciation
Nice earpods at that price Great audio experience with immersive sound ,"nice earpods,audio experience,immersive sound",appreciation
Sound quality is Good Bass quality is Good ,"sound quality,good bass",appreciation
One of the best value for money product,best value,information
Best deal on amazone perfect trebles with bass,treble bass,appreciation
Better than any other brand in this price range ,better brand,appreciation
Touch sensitive buttons on earbuds are very sensitive ,sensitive button,information
Vocals are pretty good and clear,,appreciation
Superb sound quality and battery backup,sound quality,appreciation
The sound quality is good convenient and affordable price to buy it ,"sound quality,affordable price",appreciation
Nice sound quality Clean design ,"sound quality,clean design",appreciation
One line best in this range,best range,information
Fabulous purchase ,fabulous purchase,appreciation
Sound quality is amazing Perfectly fits in ear size is good Overall value for money,"sound quality,fit ear,overall value",appreciation
Awesome bass and battery backup,awesome bass,appreciation
Amazing buds with great sound,great sound,appreciation
Using it during my workout No problem faced till now Doesn t fall,,appreciation
Amazing product u can buy instead of ptron and noise,amazing product,appreciation
Mind blowing earbuds decent bass with clear vocals,"decent bass,clear vocal",complaint
It is amazing product with no problem Also pairs very fast,amazing product,appreciation
Good sound with nice ear fitting,"good sound,nice ear",appreciation
Sound quality is Fantastic ,sound quality,appreciation
I love the base and quality Thanks for the quick delivery ,quick delivery,appreciation
Such an excellent sound earbuds ,excellent sound,appreciation
best earbuds at very affordable price,"best earbuds,affordable price",appreciation
Amazon basics products are best everytime Good performance,"basic product,best everytime,good performance",appreciation
Best in battery Sound is best money is good ,"best battery,best money",appreciation
Sound quality is amazing ,sound quality,appreciation
Very Good Product,good product,information
Product is soo good I loved it,,appreciation
Fabulous products worth it,fabulous product,information
Very good connectivity and good sound experience,"good connectivity,good sound",appreciation
Awesome Buds are lightweight very comfortable to use ,comfortable use,appreciation
One bud sounds low i replace time but it same first one right bud sounds low and second time left bud sounds low,"low replace,second time",information
satisfied with sound quality,sound quality,appreciation
Amazing sound and good build quality Best purchase for the price ,"good build,best purchase",appreciation
Battery life and sound quality is very good,,appreciation
The media could not be loaded No,,appreciation
Worth buying this ,,appreciation
The media could not be loaded Products nice all future nice,nice future,appreciation
Extremely comfort earbuds It doesn t fall off ,,appreciation
Build quality is excellent as well as noise cancellation ,,appreciation
Amazon blutooth ka dekha ta par anda koye marka ka nhi rehta hain blutooth nhi Lena bhai Amazon ab baikar product delivery karwota hain plz Amazon mat us karo use achha Flipkart hai,,appreciation
This product is a piece of trash buy at ur own discretion Connectivity issues gets disconnected as n when the device feels like Amazon basics products are a result of poor R D ,"basic product,poor r",complaint
The media could not be loaded ,,appreciation
I tried to play music in these earbuds music is not continuous It breaks in between like short gaps and eventually you will get irritated Latency is too high There is no return no support for this item even ,"continuous break,short gap,irritated latency",complaint
The media could not be loaded ,,appreciation
awesome earbuds,awesome earbuds,appreciation
Good product,good product,information
Worst product having connection issues very less battery backup sound is also flat please don t buy this,worst product,complaint
Product quantity is not good after days left earbuds not work properly,good day,complaint
don t get fooled by the price and get this This is way too bad It is made with scrap plasticand sounds way too sharp like it might literally tear your ear There is no replacement too there was only return toooo bad,,complaint
The worst quality ear buds i ve ever bought disfunctional from the very first day the sound quality is bad and the material and build quality is the cheapest,"worst quality,first day,sound quality,bad material",complaint
Voice fat rhi h,,information
Doesn t fit properly in the earSound also not goodConnecting issueWorst productThis is worth of rupees only not Cheap quality,"issueworst productthis,worth rupee,cheap quality",complaint
Sound not good,,complaint
Service is very Very bad ,,complaint
The media could not be loaded Very poor sound quality I want to change my earbuds but there is no option show for return or claim warranty very pathetic products quality,"poor sound,pathetic product",complaint
Auto disconnect and sound is not good Size is bulty Pain ears,"good size,bulty pain",complaint
Within days of use one bud stop working No warranty support from Amazon for this product ,,information
At first sound quality is too much disturb From meter distance it isn t working The product can t return so they replace today but this also is same ,"sound quality,disturb meter",complaint
The product is not working and it is very low quality product,low quality,appreciation
 th class item,,information
Yah product bahut bekar hai Isko Nahin kharide,,appreciation
Not good,,complaint
Left side ear bud not connected,,appreciation
All are defective,,complaint
Connection problem after days,,information
Connectivity problem,,complaint
Bekar cheez ,,appreciation
Only one earbud was working,,complaint
The product don t connect automatically It says failed to connect and one of the ear but stopped working,,complaint
The earbuds stopped working within week of purchase very bad experience How can i replace it ,bad experience,complaint
Waste of time Money ,,complaint
Defective quality charging not working properly ,defective quality,complaint
Kharab ho gaya,,appreciation
This is wast your money,,information
Connectivity is not good ,,complaint
Worst one ever,,complaint
Very bad,,complaint
No well sound breaks every time poot connectivity old used item Sent to me,sound break,complaint
Bass fata rah ha,,appreciation
Waste product,,complaint
West of money no good so far,,complaint
Sound quality very bad,sound quality,complaint
Ear buds not working well,,complaint
Sound quality is very bad ,sound quality,complaint
Bad quality,bad quality,complaint
Worst to the core,worst core,complaint
Amazon name also they can t print proper printing,proper printing,information
Battery life only hr Bad battery quality,bad battery,complaint
The media could not be loaded CentralProduct,,information
Main ishko week se use kar raha hun accha hain sound avarage hain calling main bhi issues Nehi hain connectivity accha hain disappointment ka kuch issues Nehi hain Ek problem mujhe laga ishka led indicator bohot time Tak jalga rehata hain Or bohot bright hain yaarItna time Tak jalne ka kya fayda hain Baki sab sehi hain Review video available hain YouTube PE RelyOn channel ka nam hain checkout kar sakte hain,"main ishko,main bhi,fayda hain,available hain",information
Quality is sub par,,appreciation
Good tws product which is a value for money product from Amazon at a great price point for these specs,,information
The media could not be loaded Very much quality and help Full sound quality is best tuch control water proof so very much quality and help,"much quality,sound quality,tuch control,much quality",appreciation
Frequently skips audio playback as it fails to maintain a steady connection despite the PC or mobile being within arms reach Audio quality is average I tried returning the product upon delivery but they said they can only do a replacement I wanted to leave a feedback immediately to warn others but the app didn t let me The customer care executive gave me a generic email to forward the complaint I didn t follow up There were no reviews for this at that time possibly for this reason They simply wanted people to trust Amazon and buy it and make a lot of money during Prime Days More than anything else I hated not being able to post a feedback I feel that they abused their position as gatekeepers ,"audio playback,steady connection,audio quality,generic email,prime day,able post,abused position",complaint
I really had lots of hopes in this product When it arrived it was working great worth the price But later I discovered it has really small grip and doesn t fit well with any size of ear buds There is no refund for the product only exchange At least they could have exchanged a product with some other model Never going to buy a Amazon basic product You can compare the ear phones grip with this product ,"worth price,small grip,well size,basic product",information
Not Good enough sound may be not clearly quality is not maintained in this product ,enough sound,appreciation
Sound Quality is good and Buds do not fall off from Ears Play time of earbuds are very good,"sound quality,good bud",appreciation
Tried boat earlier But this one is better than that Amazon never disappoint us,better amazon,information
Noise cancellation works great but not in too noisy environment Overall super cool deal ,"noisy environment,cool deal",complaint
Sound quality is very good,sound quality,appreciation
Clear sound quality with loudness ,sound quality,appreciation
Quality and battery life of the product is good ,,appreciation
Sound quality of this earbuds is really good and I appreciate the it I am satisfied with this product as it has good power back up also,"sound quality,good appreciate,satisfied product,good power",appreciation
Excellent Awesome product happy to buy it ,"awesome product,happy buy",appreciation
Nice product sound quality is excellent and blue tooth connectivity very easy,"nice product,blue tooth",appreciation
Decent product simply you can go for it,decent product,appreciation
Sound clarity is superb You can hear low to high vocals clearly,"sound clarity,high vocal",appreciation
Really useful for music lovers Quality is superb no one can tell you that you have purchased it for ,useful music,appreciation
Very very nice sound,nice sound,appreciation
